epoch,app_cpu_pct,postgres_cpu_pct,app_mem,postgres_mem,host_idle_pct
1785175088,2.20,4.44,418.1MiB,306.2MiB,98.88
1785175093,7.36,0.02,417.8MiB,305.9MiB,97.62
1785175098,2.00,4.39,417.8MiB,306.1MiB,99.00
1785175103,13.91,0.02,417.9MiB,305.8MiB,98.62
1785175109,6.03,4.46,417.4MiB,305.8MiB,99.75
1785175114,5.98,0.01,418.4MiB,305.4MiB,98.75
1785175119,2.29,1.47,418MiB,305.9MiB,99.38
1785175124,4.27,0.01,418.2MiB,305.8MiB,98.12
1785175129,1.21,0.00,418.5MiB,306.2MiB,99.12
1785175134,3.84,0.02,418.5MiB,306.1MiB,98.50
1785175139,1.23,0.00,418.4MiB,306MiB,99.62
1785175144,7.68,0.02,418.5MiB,306MiB,98.75
1785175149,15.54,0.00,418.6MiB,306.1MiB,99.12
1785175154,4.43,0.01,419MiB,305.7MiB,98.87
1785175159,0.65,0.00,419.3MiB,306.2MiB,99.75
1785175164,21.22,0.01,421MiB,306.2MiB,97.00
1785175169,3.45,0.00,420.6MiB,305.1MiB,98.25
1785175174,2.59,0.00,420MiB,305.1MiB,98.51
1785175179,296.47,249.72,421.4MiB,306.4MiB,29.62
1785175184,321.99,247.09,421.3MiB,306.6MiB,28.30
1785175189,196.94,165.74,421.8MiB,306.9MiB,44.86
1785175194,242.27,203.07,421.8MiB,307.2MiB,39.92
1785175200,62.75,55.43,421.8MiB,306.7MiB,57.25
1785175205,301.89,232.69,421.9MiB,307.3MiB,31.93
1785175210,248.73,55.10,422MiB,307.8MiB,61.87
1785175215,307.33,240.24,422.1MiB,307.8MiB,25.30
1785175220,202.91,170.59,422.2MiB,307.9MiB,46.08
1785175225,233.09,191.01,422.1MiB,308.1MiB,38.73
1785175230,288.39,235.93,422.2MiB,308.4MiB,31.78
1785175235,67.13,58.90,422.1MiB,308.3MiB,62.79
1785175240,257.35,202.28,422MiB,308.5MiB,65.78
1785175245,346.48,261.41,422.4MiB,308.8MiB,19.19
1785175250,215.14,180.58,422.8MiB,310.4MiB,43.02
1785175255,251.28,204.40,422.9MiB,310.2MiB,35.47
1785175260,303.07,240.36,422.8MiB,316.5MiB,31.35
1785175265,296.74,253.15,423MiB,316.5MiB,62.20
1785175271,39.55,35.91,422.7MiB,309.9MiB,49.74
1785175276,346.02,281.69,422.9MiB,309.6MiB,47.58
1785175281,230.39,190.55,423.1MiB,310MiB,41.44
1785175286,277.77,222.17,423MiB,310.1MiB,34.50
1785175291,297.41,246.81,422.9MiB,310.3MiB,29.40
1785175296,57.53,48.40,423MiB,310.6MiB,63.64
1785175301,312.98,255.37,423.2MiB,310.6MiB,46.86
1785175306,101.40,65.33,423.4MiB,310.9MiB,60.53
1785175311,233.62,199.27,423MiB,311.1MiB,40.00
1785175316,284.84,237.35,422.9MiB,311.1MiB,31.86
1785175321,325.02,261.23,422.9MiB,311.6MiB,49.93
1785175326,326.93,268.63,423.4MiB,311.8MiB,24.97
1785175331,209.74,181.37,423MiB,311.9MiB,44.46
1785175336,233.47,200.29,423.6MiB,311.9MiB,38.62
1785175341,116.76,98.86,423.2MiB,312.3MiB,59.95
1785175346,274.09,244.31,423.4MiB,312.3MiB,29.19
1785175351,50.61,47.18,422.7MiB,312.4MiB,63.81
1785175356,341.20,277.06,423.1MiB,312.7MiB,25.81
1785175361,214.66,189.19,423MiB,312.8MiB,42.69
1785175366,246.75,207.68,423.1MiB,312.9MiB,35.61
1785175371,292.48,242.42,423.6MiB,313.3MiB,31.73
1785175376,69.27,57.70,422.9MiB,313.3MiB,55.15
1785175381,324.16,264.68,423.4MiB,313.5MiB,47.95
1785175386,229.04,193.11,423.4MiB,313.8MiB,42.23
1785175391,261.11,219.89,423.5MiB,313.6MiB,34.33
1785175396,302.08,247.12,423MiB,314.1MiB,28.26
1785175401,64.43,54.86,423.5MiB,314.1MiB,47.29
1785175407,206.76,177.83,423.7MiB,314.7MiB,46.10
1785175412,96.76,81.84,423.5MiB,314.6MiB,58.65
1785175417,126.50,106.53,423.7MiB,314.7MiB,39.87
1785175422,282.92,231.77,423.9MiB,315MiB,32.56
1785175427,237.21,194.01,423.5MiB,315.1MiB,60.15
1785175432,337.25,326.03,423.5MiB,315.2MiB,36.13
1785175437,212.97,179.01,423.4MiB,315.7MiB,42.82
1785175441,239.81,204.14,423.7MiB,315.9MiB,37.26
1785175446,277.65,231.16,423.4MiB,315.9MiB,28.31
1785175451,135.34,112.58,423.8MiB,316MiB,60.74
1785175456,300.04,71.48,423.7MiB,316.1MiB,99.37
1785175461,0.10,0.13,421.7MiB,316.2MiB,91.29
1785175466,1.99,0.17,422.3MiB,316.4MiB,99.75
1785175471,0.08,0.11,427.9MiB,316.7MiB,100.00
1785175477,355.24,11.53,186.1MiB,269.9MiB,47.41
1785175483,0.12,0.10,277.7MiB,383.8MiB,99.87
1785175488,0.13,0.11,276.7MiB,383.2MiB,98.87
1785175493,133.00,97.27,303.3MiB,399.4MiB,3.41
1785175498,537.81,183.16,387.6MiB,400MiB,12.10
1785175503,300.55,198.75,414.4MiB,400.3MiB,31.16
1785175508,189.21,156.77,416.3MiB,400.7MiB,55.18
1785175513,178.21,130.54,417MiB,400.6MiB,34.17
1785175518,42.53,41.17,416.8MiB,400.8MiB,63.47
1785175523,241.69,209.16,416.9MiB,400.6MiB,30.73
1785175528,191.27,172.83,416.9MiB,400.7MiB,47.55
1785175533,218.71,193.71,416.8MiB,401.7MiB,41.55
1785175538,269.98,220.54,417.3MiB,401.2MiB,35.31
1785175543,261.14,75.61,417.2MiB,401.6MiB,50.77
1785175548,283.33,248.87,417.5MiB,401.7MiB,35.18
1785175554,146.16,93.57,417.5MiB,402MiB,56.19
1785175559,322.33,304.81,418.2MiB,416.2MiB,14.34
1785175564,376.24,378.54,418.1MiB,438.2MiB,17.39
1785175569,234.14,164.99,418.8MiB,452.9MiB,17.70
1785175574,378.24,365.34,451.1MiB,452.9MiB,3.92
1785175579,236.31,221.26,451.5MiB,453.2MiB,33.08
1785175584,171.23,172.34,451.5MiB,454.3MiB,32.61
