epoch,active,idle,pending,max
1785176226,0.0,20.0,0.0,20.0
1785176227,0.0,20.0,0.0,20.0
1785176228,0.0,20.0,0.0,20.0
1785176229,0.0,20.0,0.0,20.0
1785176230,0.0,20.0,0.0,20.0
1785176231,0.0,20.0,0.0,20.0
1785176232,0.0,20.0,0.0,20.0
1785176233,0.0,20.0,0.0,20.0
1785176234,0.0,20.0,0.0,20.0
1785176235,0.0,20.0,0.0,20.0
1785176236,0.0,20.0,0.0,20.0
1785176237,0.0,20.0,0.0,20.0
1785176238,0.0,20.0,0.0,20.0
1785176239,0.0,20.0,0.0,20.0
1785176240,0.0,20.0,0.0,20.0
1785176241,0.0,20.0,0.0,20.0
1785176242,0.0,20.0,0.0,20.0
1785176243,0.0,20.0,0.0,20.0
1785176244,0.0,20.0,0.0,20.0
1785176245,0.0,20.0,0.0,20.0
1785176246,0.0,20.0,0.0,20.0
1785176247,0.0,20.0,0.0,20.0
1785176248,0.0,20.0,0.0,20.0
1785176249,0.0,20.0,0.0,20.0
1785176250,0.0,20.0,0.0,20.0
1785176251,0.0,20.0,0.0,20.0
1785176252,0.0,20.0,0.0,20.0
1785176253,0.0,20.0,0.0,20.0
1785176254,0.0,20.0,0.0,20.0
1785176255,0.0,20.0,0.0,20.0
1785176256,0.0,20.0,0.0,20.0
1785176257,0.0,20.0,0.0,20.0
1785176258,0.0,20.0,0.0,20.0
1785176259,0.0,20.0,0.0,20.0
1785176261,0.0,20.0,0.0,20.0
1785176262,0.0,20.0,0.0,20.0
1785176263,20.0,0.0,0.0,20.0
1785176264,8.0,12.0,0.0,20.0
1785176265,20.0,0.0,0.0,20.0
1785176266,1.0,19.0,0.0,20.0
1785176267,20.0,0.0,0.0,20.0
1785176268,20.0,0.0,0.0,20.0
1785176269,20.0,0.0,0.0,20.0
1785176270,20.0,0.0,0.0,20.0
1785176271,20.0,0.0,0.0,20.0
1785176272,7.0,13.0,0.0,20.0
1785176273,20.0,1.0,0.0,20.0
1785176274,20.0,0.0,0.0,20.0
1785176275,11.0,9.0,0.0,20.0
1785176276,20.0,0.0,0.0,20.0
1785176277,16.0,4.0,0.0,20.0
1785176278,7.0,13.0,0.0,20.0
1785176279,19.0,1.0,0.0,20.0
1785176280,20.0,0.0,0.0,20.0
1785176281,20.0,0.0,0.0,20.0
1785176282,12.0,7.0,1.0,20.0
1785176283,20.0,0.0,0.0,20.0
1785176284,20.0,0.0,0.0,20.0
1785176285,9.0,11.0,0.0,20.0
1785176286,20.0,0.0,0.0,20.0
1785176287,1.0,19.0,0.0,20.0
1785176288,6.0,14.0,0.0,20.0
1785176289,20.0,0.0,0.0,20.0
1785176290,20.0,0.0,0.0,20.0
1785176291,20.0,0.0,0.0,20.0
1785176292,20.0,0.0,0.0,20.0
1785176294,12.0,8.0,0.0,20.0
1785176295,20.0,0.0,0.0,20.0
1785176296,20.0,0.0,0.0,20.0
1785176297,20.0,0.0,0.0,20.0
1785176298,20.0,0.0,0.0,20.0
1785176299,20.0,0.0,0.0,20.0
1785176300,19.0,1.0,0.0,20.0
1785176301,15.0,5.0,0.0,20.0
1785176302,20.0,0.0,0.0,20.0
1785176303,20.0,0.0,0.0,20.0
1785176304,20.0,0.0,0.0,20.0
1785176305,20.0,0.0,0.0,20.0
1785176306,20.0,0.0,0.0,20.0
1785176307,20.0,0.0,0.0,20.0
1785176308,12.0,8.0,0.0,20.0
1785176309,10.0,10.0,0.0,20.0
1785176310,20.0,0.0,0.0,20.0
